,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,#6o1h4m,True,1,1,equal,ST2_low_5_a2,P = T2?,Same,2,2,low,96,1.18,154,0.82,154,0.71,Yes,quiteSure,hit,6.002685070037842,NA
1,#6o1h4m,True,2,1,equal,STb_8_a1,P = T2?,Same,0,1,None,180,0.84,180,0.83,180,0.87,Yes,sure,hit,0.8404951095581055,NA
2,#6o1h4m,True,3,1,equal,ST1_high_2_a2,P = T1?,Same,1,2,high,112,1.11,82,1.44,112,0.84,Yes,sure,hit,3.140963077545166,NA
3,#6o1h4m,True,4,1,equal,DT1_high_6_a1,P = T1?,Different,1,1,high,132,0.93,96,1.15,154,0.69,No,quiteSure,miss,9.176050901412964,NA
4,#6o1h4m,True,5,1,equal,DT1_high_6_a2,P = T1?,Different,1,2,high,132,0.92,96,1.36,154,0.87,No,quiteSure,miss,3.618921995162964,NA
5,#6o1h4m,True,6,1,equal,DT2_low_1_a2,P = T2?,Different,2,2,low,82,1.56,132,1.03,154,0.72,Yes,quiteSure,hit,1.7050721645355225,NA
6,#6o1h4m,True,7,1,equal,ST2_high_4_a1,P = T1?,Same,2,1,high,96,0.92,70,1.43,70,1.78,No,sure,cr,1.6975290775299072,NA
7,#6o1h4m,True,8,1,equal,STb_7_a1,P = T2?,Same,0,1,None,154,0.93,154,0.75,154,0.91,Yes,sure,hit,1.396254062652588,NA
8,#6o1h4m,True,9,1,equal,ST1_low_3_a1,P = T2?,Same,1,1,low,70,1.57,112,1.07,70,1.76,No,sure,cr,1.446655035018921,NA
9,#6o1h4m,True,10,1,equal,ST1_low_4_a1,P = T1?,Same,1,1,low,112,1.25,70,1.45,112,1.1,Yes,sure,hit,1.1743297576904297,NA
10,#6o1h4m,True,11,1,equal,STb_8_a2,P = T1?,Same,0,2,None,180,1.01,180,0.77,180,0.83,Yes,sure,hit,1.2150609493255615,NA
11,#6o1h4m,True,12,1,equal,ST2_low_6_a2,P = T1?,Same,2,2,low,154,0.84,96,1.62,96,1.19,No,sure,cr,1.3732459545135498,NA
12,#6o1h4m,True,13,1,equal,ST2_low_4_a2,P = T2?,Same,2,2,low,112,1.16,70,1.53,70,1.9,Yes,sure,hit,1.8857839107513428,NA
13,#6o1h4m,True,14,1,equal,STb_6_a2,P = T1?,Same,0,2,None,132,0.95,132,0.9,132,0.88,Yes,sure,hit,1.3951079845428467,NA
14,#6o1h4m,True,15,1,equal,DT1_high_2_a2,P = T2?,Different,1,2,high,112,0.94,82,1.57,132,1.02,Yes,quiteSure,fa,1.9545788764953613,NA
15,#6o1h4m,True,16,1,equal,ST1_low_5_a2,P = T2?,Same,1,2,low,96,1.19,154,0.65,96,1.46,No,sure,cr,1.4953112602233887,0.625
16,#6o1h4m,False,1,1,equal,ST2_low_1_a1,P = T1?,Same,2,1,low,82,1.55,132,1.06,132,1.04,No,sure,cr,1.4513318538665771,NA
17,#6o1h4m,False,2,1,equal,ST2_high_4_a1,P = T2?,Same,2,1,high,96,1.21,70,1.69,70,1.73,Yes,sure,hit,1.8989331722259521,NA
18,#6o1h4m,False,3,1,equal,ST2_low_4_a2,P = T1?,Same,2,2,low,112,1.2,70,1.49,70,1.4,No,sure,cr,1.4632439613342285,NA
19,#6o1h4m,False,4,1,equal,DT1_high_2_a1,P = T2?,Different,1,1,high,112,1.11,82,1.34,132,0.83,No,quiteSure,cr,11.245508909225464,NA
20,#6o1h4m,False,5,1,equal,ST2_low_5_a1,P = T1?,Same,2,1,low,96,1.33,154,0.89,154,0.71,No,sure,cr,1.3299431800842285,NA
21,#6o1h4m,False,6,1,equal,ST1_high_2_a2,P = T2?,Same,1,2,high,112,0.96,82,1.39,112,1.09,No,sure,cr,1.3899691104888916,NA
22,#6o1h4m,False,7,1,equal,ST1_high_4_a2,P = T1?,Same,1,2,high,96,1.28,70,1.4,96,1.18,Yes,sure,hit,2.8626697063446045,NA
23,#6o1h4m,False,8,1,equal,ST2_low_2_a2,P = T2?,Same,2,2,low,132,1.01,82,1.23,82,1.51,Yes,sure,hit,3.1311349868774414,NA
24,#6o1h4m,False,9,1,equal,ST2_high_5_a1,P = T2?,Same,2,1,high,96,1.29,132,0.92,132,0.89,Yes,sure,hit,1.2569949626922607,NA
25,#6o1h4m,False,10,1,equal,ST2_high_6_a2,P = T2?,Same,2,2,high,132,1.02,96,1.18,96,1.27,Yes,sure,hit,3.435054063796997,NA
26,#6o1h4m,False,11,1,equal,ST2_high_6_a1,P = T2?,Same,2,1,high,132,1.04,96,1.35,96,1.13,Yes,sure,hit,2.1109790802001953,NA
27,#6o1h4m,False,12,1,equal,ST2_low_5_a2,P = T2?,Same,2,2,low,96,1.08,154,0.86,154,0.73,Yes,sure,hit,1.2370870113372803,NA
28,#6o1h4m,False,13,1,equal,ST2_high_1_a2,P = T1?,Same,2,2,high,82,1.49,112,0.98,112,1.17,No,quiteSure,cr,4.369218111038208,NA
29,#6o1h4m,False,14,1,equal,ST2_low_2_a2,P = T1?,Same,2,2,low,132,0.87,82,1.49,82,1.56,No,sure,cr,2.126520872116089,NA
30,#6o1h4m,False,15,1,equal,ST1_high_1_a1,P = T2?,Same,1,1,high,82,1.3,112,1.18,82,1.36,No,sure,cr,1.6307060718536377,NA
31,#6o1h4m,False,16,1,equal,STb_2_a1,P = T2?,Same,0,1,None,70,1.51,70,1.45,70,1.82,Yes,sure,hit,1.5247437953948975,NA
32,#6o1h4m,False,17,1,equal,ST1_low_5_a2,P = T2?,Same,1,2,low,96,1.06,154,0.8,96,1.35,No,sure,cr,1.425119161605835,NA
33,#6o1h4m,False,18,1,equal,ST2_high_1_a2,P = T2?,Same,2,2,high,82,1.34,112,1.16,112,1.14,Yes,sure,hit,1.0164258480072021,NA
34,#6o1h4m,False,19,1,equal,ST1_low_3_a2,P = T2?,Same,1,2,low,70,1.73,112,1.16,70,1.48,No,sure,cr,3.0940449237823486,NA
35,#6o1h4m,False,20,1,equal,ST1_low_2_a2,P = T2?,Same,1,2,low,132,0.97,82,1.39,132,0.85,No,sure,cr,3.911201000213623,NA
36,#6o1h4m,False,21,1,equal,DT2_high_5_a1,P = T2?,Different,2,1,high,96,1.24,132,0.92,154,0.84,No,unsure,miss,3.511277198791504,NA
37,#6o1h4m,False,22,1,equal,DT1_low_2_a1,P = T2?,Different,1,1,low,132,1.06,82,1.5,154,0.96,No,quiteSure,cr,2.533082962036133,NA
38,#6o1h4m,False,23,1,equal,ST2_low_4_a1,P = T1?,Same,2,1,low,112,0.96,70,1.64,70,1.48,No,sure,cr,1.6865580081939697,NA
39,#6o1h4m,False,24,1,equal,ST2_low_1_a2,P = T1?,Same,2,2,low,82,1.32,132,0.81,132,0.86,No,sure,cr,1.9191620349884033,NA
40,#6o1h4m,False,25,1,equal,ST2_low_4_a1,P = T2?,Same,2,1,low,112,1.09,70,1.65,70,1.52,Yes,sure,hit,1.3091561794281006,NA
41,#6o1h4m,False,26,1,equal,ST1_high_6_a2,P = T1?,Same,1,2,high,132,1.0,96,1.37,132,1.0,No,quiteSure,miss,2.95857834815979,NA
42,#6o1h4m,False,27,1,equal,ST2_high_6_a1,P = T1?,Same,2,1,high,132,0.82,96,1.13,96,1.37,No,sure,cr,1.3144869804382324,NA
43,#6o1h4m,False,28,1,equal,STb_5_a1,P = T1?,Same,0,1,None,112,1.06,112,1.04,112,1.16,Yes,sure,hit,1.7774348258972168,NA
44,#6o1h4m,False,29,1,equal,ST2_high_4_a2,P = T2?,Same,2,2,high,96,1.16,70,1.41,70,1.4,Yes,sure,hit,1.3238070011138916,NA
45,#6o1h4m,False,30,1,equal,ST2_low_5_a1,P = T2?,Same,2,1,low,96,1.24,154,0.9,154,0.9,Yes,sure,hit,1.3584628105163574,NA
46,#6o1h4m,False,31,1,equal,ST1_low_4_a1,P = T1?,Same,1,1,low,112,0.98,70,1.84,112,1.01,Yes,sure,hit,1.2071449756622314,NA
47,#6o1h4m,False,32,1,equal,ST1_high_4_a2,P = T2?,Same,1,2,high,96,1.38,70,1.75,96,1.4,No,sure,cr,3.5927622318267822,NA
48,#6o1h4m,False,33,1,equal,ST2_high_3_a2,P = T2?,Same,2,2,high,70,1.8,96,1.26,96,1.4,Yes,sure,hit,1.0318610668182373,NA
49,#6o1h4m,False,34,1,equal,ST2_low_2_a2,P = T2?,Same,2,2,low,132,1.05,82,1.48,82,1.41,Yes,sure,hit,2.015180826187134,NA
50,#6o1h4m,False,35,1,equal,ST1_high_1_a2,P = T1?,Same,1,2,high,82,1.43,112,1.17,82,1.51,Yes,sure,hit,1.5765252113342285,NA
51,#6o1h4m,False,36,1,equal,ST1_high_4_a1,P = T1?,Same,1,1,high,96,1.4,70,1.59,96,1.35,Yes,sure,hit,1.7339770793914795,NA
52,#6o1h4m,False,37,1,equal,ST2_low_6_a2,P = T1?,Same,2,2,low,154,0.74,96,1.18,96,1.41,No,sure,cr,1.1892578601837158,NA
53,#6o1h4m,False,38,1,equal,ST2_high_2_a2,P = T2?,Same,2,2,high,112,1.11,82,1.22,82,1.49,Yes,sure,hit,1.6966230869293213,NA
54,#6o1h4m,False,39,1,equal,ST1_low_5_a1,P = T2?,Same,1,1,low,96,1.17,154,0.8,96,1.37,No,sure,cr,1.5469377040863037,NA
55,#6o1h4m,False,40,1,equal,ST1_high_5_a2,P = T1?,Same,1,2,high,96,1.25,132,1.01,96,1.07,Yes,sure,hit,1.5242078304290771,NA
56,#6o1h4m,False,41,1,equal,ST2_high_2_a2,P = T1?,Same,2,2,high,112,1.08,82,1.47,82,1.35,No,sure,cr,1.2972369194030762,NA
