,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,#49uet5,True,1,1,equal,DT1_high_6_a1,P = T1?,Different,1,1,high,132,0.85,96,1.14,154,0.81,Yes,quiteSure,hit,1.9639220237731934,NA
1,#49uet5,True,2,1,equal,STb_4_a2,P = T2?,Same,0,2,None,96,1.13,96,0.95,96,1.35,Yes,quiteSure,hit,1.2712922096252441,NA
2,#49uet5,True,3,1,equal,STb_3_a1,P = T2?,Same,0,1,None,82,1.55,82,1.53,82,1.53,Yes,sure,hit,2.533496141433716,NA
3,#49uet5,True,4,1,equal,DT1_low_1_a1,P = T2?,Different,1,1,low,82,1.32,132,0.82,70,1.77,No,sure,cr,1.9441931247711182,NA
4,#49uet5,True,5,1,equal,ST2_high_5_a2,P = T1?,Same,2,2,high,96,1.21,132,1.09,132,0.89,No,sure,cr,1.2066919803619385,NA
5,#49uet5,True,6,1,equal,ST2_high_3_a1,P = T2?,Same,2,1,high,70,1.55,96,1.58,96,1.09,Yes,quiteSure,hit,1.158574104309082,NA
6,#49uet5,True,7,1,equal,ST2_low_6_a2,P = T2?,Same,2,2,low,154,0.84,96,1.56,96,1.34,Yes,quiteSure,hit,1.06880784034729,NA
7,#49uet5,True,8,1,equal,ST1_high_1_a2,P = T2?,Same,1,2,high,82,1.52,112,1.28,82,1.2,No,quiteSure,cr,1.3837130069732666,NA
8,#49uet5,True,9,1,equal,DT2_low_6_a2,P = T2?,Different,2,2,low,154,0.81,96,1.15,82,1.54,Yes,quiteSure,hit,1.5411901473999023,NA
9,#49uet5,True,10,1,equal,ST1_high_1_a1,P = T1?,Same,1,1,high,82,1.53,112,1.17,82,1.63,Yes,quiteSure,hit,1.8103020191192627,NA
10,#49uet5,True,11,1,equal,STb_2_a2,P = T1?,Same,0,2,None,70,1.63,70,1.77,70,1.65,Yes,quiteSure,hit,1.1587140560150146,NA
11,#49uet5,True,12,1,equal,DT1_low_6_a1,P = T1?,Different,1,1,low,154,0.87,96,1.23,180,0.93,Yes,quiteSure,hit,1.2491800785064697,NA
12,#49uet5,True,13,1,equal,ST2_low_1_a1,P = T1?,Same,2,1,low,82,1.32,132,0.95,132,0.99,No,sure,cr,1.383547067642212,NA
13,#49uet5,True,14,1,equal,STb_1_a1,P = T1?,Same,0,1,None,60,1.93,60,2.04,60,1.73,Yes,sure,hit,1.1620638370513916,NA
14,#49uet5,True,15,1,equal,ST1_high_4_a1,P = T1?,Same,1,1,high,96,1.01,70,1.85,96,1.26,No,unsure,miss,3.016751766204834,NA
15,#49uet5,True,16,1,equal,ST1_high_3_a2,P = T2?,Same,1,2,high,70,2.05,96,1.35,70,1.88,No,sure,cr,1.224254846572876,0.875
16,#49uet5,False,1,1,equal,ST1_high_6_a2,P = T2?,Same,1,2,high,132,0.94,96,1.37,132,0.97,No,quiteSure,cr,1.3895747661590576,NA
17,#49uet5,False,2,1,equal,ST2_low_5_a2,P = T1?,Same,2,2,low,96,1.19,154,0.81,154,0.89,No,quiteSure,cr,1.2218809127807617,NA
18,#49uet5,False,3,1,equal,ST2_high_1_a2,P = T2?,Same,2,2,high,82,1.41,112,1.21,112,1.0,Yes,quiteSure,hit,1.6971631050109863,NA
19,#49uet5,False,4,1,equal,DT1_high_3_a1,P = T1?,Different,1,1,high,70,1.76,96,1.08,60,1.64,Yes,quiteSure,hit,1.069977045059204,NA
20,#49uet5,False,5,1,equal,ST1_high_2_a2,P = T1?,Same,1,2,high,112,1.15,82,1.43,112,1.1,Yes,sure,hit,1.0221400260925293,NA
21,#49uet5,False,6,1,equal,ST2_high_6_a2,P = T1?,Same,2,2,high,132,0.99,96,1.18,96,1.19,No,quiteSure,cr,1.5390288829803467,NA
22,#49uet5,False,7,1,equal,ST2_high_2_a2,P = T2?,Same,2,2,high,112,1.23,82,1.45,82,1.31,Yes,sure,hit,1.053452968597412,NA
23,#49uet5,False,8,1,equal,ST2_low_6_a2,P = T1?,Same,2,2,low,154,0.83,96,1.19,96,1.3,No,quiteSure,cr,1.4288699626922607,NA
24,#49uet5,False,9,1,equal,ST2_low_1_a1,P = T1?,Same,2,1,low,82,1.23,132,0.82,132,0.98,No,quiteSure,cr,1.1619369983673096,NA
25,#49uet5,False,10,1,equal,ST2_low_3_a2,P = T2?,Same,2,2,low,70,1.6,112,1.11,112,1.16,Yes,sure,hit,1.379303216934204,NA
26,#49uet5,False,11,1,equal,ST1_high_6_a1,P = T1?,Same,1,1,high,132,0.96,96,1.32,132,0.85,Yes,sure,hit,1.0452003479003906,NA
27,#49uet5,False,12,1,equal,ST1_high_3_a2,P = T1?,Same,1,2,high,70,1.75,96,1.31,70,1.71,Yes,sure,hit,1.1124122142791748,NA
28,#49uet5,False,13,1,equal,ST2_low_6_a1,P = T1?,Same,2,1,low,154,0.78,96,1.4,96,1.37,No,quiteSure,cr,1.2054579257965088,NA
29,#49uet5,False,14,1,equal,ST1_low_4_a1,P = T2?,Same,1,1,low,112,1.02,70,1.44,112,0.92,Yes,sure,fa,1.1807832717895508,NA
30,#49uet5,False,15,1,equal,ST1_low_1_a1,P = T2?,Same,1,1,low,82,1.38,132,0.86,82,1.56,No,quiteSure,cr,1.1581318378448486,NA
31,#49uet5,False,16,1,equal,ST1_low_4_a2,P = T2?,Same,1,2,low,112,1.15,70,1.53,112,0.94,No,unsure,cr,1.6723182201385498,NA
32,#49uet5,False,17,1,equal,ST1_low_1_a2,P = T1?,Same,1,2,low,82,1.3,132,0.98,82,1.49,Yes,quiteSure,hit,1.4320380687713623,NA
33,#49uet5,False,18,1,equal,DT2_high_4_a2,P = T2?,Different,2,2,high,96,1.22,70,1.64,60,1.8,Yes,unsure,hit,3.1405203342437744,NA
34,#49uet5,False,19,1,equal,ST2_high_6_a2,P = T2?,Same,2,2,high,132,1.03,96,1.14,96,1.37,Yes,quiteSure,hit,1.0947179794311523,NA
