,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,vus64!8,True,1,2,equal,STb_8_a2,P = T2?,Same,0,2,None,180,0.82,180,0.93,180,0.82,Yes,quiteSure,hit,1.8635671138763428,NA
1,vus64!8,True,2,2,equal,ST1_low_2_a2,P = T1?,Same,1,2,low,132,0.93,82,1.18,132,0.9,Yes,quiteSure,hit,2.1630990505218506,NA
2,vus64!8,True,3,2,equal,ST1_low_2_a1,P = T2?,Same,1,1,low,132,0.96,82,1.64,132,0.94,No,quiteSure,cr,1.7344026565551758,NA
3,vus64!8,True,4,2,equal,ST2_low_6_a1,P = T1?,Same,2,1,low,154,0.83,96,1.17,96,1.41,No,quiteSure,cr,1.8667898178100586,NA
4,vus64!8,True,5,2,equal,STb_1_a2,P = T2?,Same,0,2,None,60,1.91,60,1.63,60,1.75,Yes,quiteSure,hit,1.4645543098449707,NA
5,vus64!8,True,6,2,equal,DT2_low_1_a2,P = T2?,Different,2,2,low,82,1.62,132,1.03,154,0.92,Yes,quiteSure,hit,1.5348231792449951,NA
6,vus64!8,True,7,2,equal,STb_1_a1,P = T1?,Same,0,1,None,60,1.68,60,1.71,60,1.58,Yes,quiteSure,hit,1.1696889400482178,NA
7,vus64!8,True,8,2,equal,DT2_high_6_a1,P = T1?,Different,2,1,high,132,0.97,96,1.25,82,1.28,No,quiteSure,cr,1.4188868999481201,NA
8,vus64!8,True,9,2,equal,ST1_high_3_a2,P = T1?,Same,1,2,high,70,1.79,96,0.99,70,1.94,No,sure,miss,2.0052640438079834,NA
9,vus64!8,True,10,2,equal,ST1_low_1_a2,P = T2?,Same,1,2,low,82,1.39,132,1.1,82,1.44,No,sure,cr,1.5980420112609863,NA
10,vus64!8,True,11,2,equal,STb_5_a1,P = T1?,Same,0,1,None,112,0.96,112,1.07,112,1.11,Yes,sure,hit,1.6460988521575928,NA
11,vus64!8,True,12,2,equal,ST2_high_3_a2,P = T2?,Same,2,2,high,70,1.61,96,1.27,96,1.34,Yes,quiteSure,hit,1.4900181293487549,NA
12,vus64!8,True,13,2,equal,DT2_high_2_a2,P = T2?,Different,2,2,high,112,1.1,82,1.55,70,1.84,No,sure,miss,1.7373969554901123,NA
13,vus64!8,True,14,2,equal,DT1_high_5_a1,P = T1?,Different,1,1,high,96,1.24,132,0.8,82,1.57,Yes,sure,hit,1.1270170211791992,NA
14,vus64!8,True,15,2,equal,ST2_low_4_a2,P = T1?,Same,2,2,low,112,1.0,70,1.52,70,1.34,No,unsure,cr,1.6440441608428955,NA
15,vus64!8,True,16,2,equal,ST2_high_5_a1,P = T2?,Same,2,1,high,96,1.06,132,1.01,132,0.82,Yes,quiteSure,hit,1.126729965209961,0.75
16,vus64!8,False,1,2,equal,ST2_high_1_a1,P = T2?,Same,2,1,high,82,1.47,112,1.14,112,1.03,Yes,unsure,hit,1.076211929321289,NA
17,vus64!8,False,2,2,equal,ST1_low_2_a2,P = T1?,Same,1,2,low,132,0.93,82,1.18,132,0.9,Yes,quiteSure,hit,1.2837419509887695,NA
18,vus64!8,False,3,2,equal,ST1_low_5_a2,P = T1?,Same,1,2,low,96,1.39,154,0.93,96,1.09,No,quiteSure,miss,0.5603897571563721,NA
