,pcode,practice,trial,block,questionType,condition,question,PTS,TargetPosition,AccessoryPosition,TNS,T1_hz,T1_amp,T2_hz,T2_amp,P_hz,P_amp,response_dicho,response_rating,response_sdt,rt,P_correct
0,63xnq5!,True,1,1,equal,DT2_low_3_a1,P = T1?,Different,2,1,low,70,1.17,112,1.0,132,0.98,No,unsure,cr,1.7873470783233643,NA
1,63xnq5!,True,2,1,equal,DT1_low_3_a1,P = T1?,Different,1,1,low,70,1.76,112,1.11,60,1.88,Yes,sure,hit,1.81345796585083,NA
2,63xnq5!,True,3,1,equal,STb_8_a1,P = T2?,Same,0,1,None,180,0.82,180,0.8,180,0.86,Yes,sure,hit,1.8149151802062988,NA
3,63xnq5!,True,4,1,equal,ST2_low_1_a1,P = T1?,Same,2,1,low,82,1.16,132,1.01,132,0.96,No,sure,cr,1.4756689071655273,NA
4,63xnq5!,True,5,1,equal,ST1_high_3_a1,P = T2?,Same,1,1,high,70,1.66,96,1.34,70,2.05,Yes,sure,fa,5.769222736358643,NA
5,63xnq5!,True,6,1,equal,ST2_high_2_a2,P = T2?,Same,2,2,high,112,0.96,82,1.74,82,1.3,Yes,quiteSure,hit,1.9022190570831299,NA
6,63xnq5!,True,7,1,equal,STb_5_a1,P = T1?,Same,0,1,None,112,1.26,112,0.96,112,1.22,Yes,quiteSure,hit,1.814424753189087,NA
7,63xnq5!,True,8,1,equal,DT1_low_1_a1,P = T2?,Different,1,1,low,82,1.52,132,0.95,70,1.41,No,unsure,cr,1.7650339603424072,NA
8,63xnq5!,True,9,1,equal,STb_3_a2,P = T2?,Same,0,2,None,82,1.42,82,1.46,82,1.55,Yes,quiteSure,hit,2.7314980030059814,NA
9,63xnq5!,True,10,1,equal,ST1_low_5_a2,P = T2?,Same,1,2,low,96,1.14,154,0.84,96,1.12,No,sure,cr,2.913357973098755,NA
10,63xnq5!,True,11,1,equal,ST2_high_4_a1,P = T2?,Same,2,1,high,96,1.18,70,1.58,70,1.42,Yes,sure,hit,1.6112089157104492,NA
11,63xnq5!,True,12,1,equal,DT1_low_6_a1,P = T2?,Different,1,1,low,154,0.82,96,1.22,180,0.77,No,quiteSure,cr,7.25671911239624,NA
12,63xnq5!,True,13,1,equal,STb_8_a1,P = T1?,Same,0,1,None,180,0.74,180,0.9,180,0.88,No,quiteSure,miss,5.8520050048828125,NA
13,63xnq5!,True,14,1,equal,ST1_high_4_a2,P = T1?,Same,1,2,high,96,0.93,70,1.58,96,1.05,Yes,quiteSure,hit,1.982940912246704,NA
14,63xnq5!,True,15,1,equal,ST2_high_1_a2,P = T1?,Same,2,2,high,82,1.44,112,0.89,112,1.23,No,quiteSure,cr,4.49504017829895,NA
15,63xnq5!,True,16,1,equal,ST1_high_4_a1,P = T1?,Same,1,1,high,96,1.06,70,1.73,96,1.41,Yes,quiteSure,hit,1.7699708938598633,0.75
16,63xnq5!,False,1,1,equal,ST2_low_2_a2,P = T1?,Same,2,2,low,132,0.9,82,1.58,82,1.27,Yes,sure,fa,7.2034690380096436,NA
17,63xnq5!,False,2,1,equal,ST1_high_3_a1,P = T1?,Same,1,1,high,70,1.68,96,1.36,70,1.43,Yes,sure,hit,3.7492189407348633,NA
18,63xnq5!,False,3,1,equal,ST2_high_4_a2,P = T2?,Same,2,2,high,96,1.07,70,1.62,70,1.64,Yes,sure,hit,4.824743747711182,NA
19,63xnq5!,False,4,1,equal,ST2_low_4_a2,P = T2?,Same,2,2,low,112,0.94,70,1.7,70,1.74,Yes,sure,hit,1.451092004776001,NA
20,63xnq5!,False,5,1,equal,ST2_low_1_a2,P = T1?,Same,2,2,low,82,1.44,132,0.89,132,1.05,No,sure,cr,1.9016849994659424,NA
21,63xnq5!,False,6,1,equal,ST1_low_5_a2,P = T2?,Same,1,2,low,96,1.22,154,0.83,96,1.07,No,sure,cr,3.9246950149536133,NA
22,63xnq5!,False,7,1,equal,ST2_low_4_a2,P = T1?,Same,2,2,low,112,1.0,70,1.6,70,1.62,No,sure,cr,2.3703038692474365,NA
23,63xnq5!,False,8,1,equal,ST1_high_1_a2,P = T1?,Same,1,2,high,82,1.35,112,1.12,82,1.23,Yes,unsure,hit,3.3909268379211426,NA
24,63xnq5!,False,9,1,equal,ST1_low_2_a2,P = T1?,Same,1,2,low,132,0.84,82,1.31,132,0.8,No,sure,miss,2.5374057292938232,NA
25,63xnq5!,False,10,1,equal,ST1_high_1_a1,P = T2?,Same,1,1,high,82,1.3,112,1.1,82,1.42,No,sure,cr,2.17441987991333,NA
26,63xnq5!,False,11,1,equal,ST1_high_2_a2,P = T1?,Same,1,2,high,112,1.04,82,1.28,112,1.06,Yes,sure,hit,2.8894200325012207,NA
27,63xnq5!,False,12,1,equal,ST2_high_2_a2,P = T1?,Same,2,2,high,112,1.16,82,1.59,82,1.27,No,sure,cr,2.5491349697113037,NA
28,63xnq5!,False,13,1,equal,ST1_low_1_a1,P = T2?,Same,1,1,low,82,1.56,132,1.0,82,1.54,No,sure,cr,1.993528127670288,NA
29,63xnq5!,False,14,1,equal,ST1_high_1_a1,P = T2?,Same,1,1,high,82,1.58,112,1.14,82,1.31,No,sure,cr,1.5667221546173096,NA
30,63xnq5!,False,15,1,equal,ST1_low_3_a2,P = T1?,Same,1,2,low,70,1.74,112,1.11,70,1.56,Yes,quiteSure,hit,5.3623480796813965,NA
31,63xnq5!,False,16,1,equal,ST1_low_3_a2,P = T2?,Same,1,2,low,70,1.67,112,1.12,70,1.53,No,sure,cr,5.909016847610474,NA
32,63xnq5!,False,17,1,equal,ST2_high_3_a2,P = T2?,Same,2,2,high,70,1.68,96,1.4,96,1.23,Yes,quiteSure,hit,1.409550666809082,NA
33,63xnq5!,False,18,1,equal,ST1_high_3_a2,P = T2?,Same,1,2,high,70,1.46,96,1.36,70,1.59,Yes,quiteSure,fa,3.847342014312744,NA
34,63xnq5!,False,19,1,equal,ST2_high_6_a1,P = T1?,Same,2,1,high,132,0.79,96,1.2,96,1.39,Yes,quiteSure,fa,1.6744351387023926,NA
35,63xnq5!,False,20,1,equal,STb_7_a2,P = T2?,Same,0,2,None,154,0.84,154,0.74,154,0.75,Yes,quiteSure,hit,2.217656135559082,NA
36,63xnq5!,False,21,1,equal,ST1_high_6_a1,P = T1?,Same,1,1,high,132,0.82,96,1.2,132,0.93,Yes,quiteSure,hit,3.4212989807128906,NA
37,63xnq5!,False,22,1,equal,ST2_low_4_a1,P = T2?,Same,2,1,low,112,0.97,70,1.78,70,1.55,Yes,sure,hit,2.1687800884246826,NA
38,63xnq5!,False,23,1,equal,ST1_high_1_a1,P = T1?,Same,1,1,high,82,1.45,112,1.01,82,1.34,Yes,quiteSure,hit,1.7908380031585693,NA
39,63xnq5!,False,24,1,equal,ST1_high_2_a2,P = T2?,Same,1,2,high,112,1.02,82,1.51,112,1.07,Yes,unsure,fa,7.523200035095215,NA
40,63xnq5!,False,25,1,equal,ST1_low_4_a1,P = T2?,Same,1,1,low,112,1.08,70,1.45,112,1.16,No,sure,cr,3.3643858432769775,NA
41,63xnq5!,False,26,1,equal,ST2_high_1_a1,P = T1?,Same,2,1,high,82,1.32,112,1.11,112,0.99,No,sure,cr,2.483595132827759,NA
42,63xnq5!,False,27,1,equal,ST2_high_3_a1,P = T2?,Same,2,1,high,70,1.75,96,1.36,96,1.15,No,unsure,miss,2.824586868286133,NA
43,63xnq5!,False,28,1,equal,STb_8_a2,P = T2?,Same,0,2,None,180,0.88,180,0.73,180,0.74,Yes,sure,hit,2.0133001804351807,NA
44,63xnq5!,False,29,1,equal,ST1_low_4_a2,P = T1?,Same,1,2,low,112,1.23,70,1.74,112,1.16,Yes,quiteSure,hit,1.8985569477081299,NA
45,63xnq5!,False,30,1,equal,ST2_high_5_a2,P = T1?,Same,2,2,high,96,1.24,132,1.04,132,0.82,No,sure,cr,1.7335259914398193,NA
46,63xnq5!,False,31,1,equal,ST2_low_5_a1,P = T1?,Same,2,1,low,96,1.08,154,0.82,154,0.77,No,sure,cr,1.8131060600280762,NA
47,63xnq5!,False,32,1,equal,ST2_high_3_a1,P = T1?,Same,2,1,high,70,1.4,96,1.38,96,1.2,Yes,unsure,fa,2.1047470569610596,NA
48,63xnq5!,False,33,1,equal,ST1_low_3_a1,P = T2?,Same,1,1,low,70,1.6,112,1.09,70,1.6,Yes,quiteSure,fa,6.445502042770386,NA
49,63xnq5!,False,34,1,equal,ST2_low_5_a1,P = T1?,Same,2,1,low,96,1.24,154,0.79,154,0.76,No,sure,cr,2.571031093597412,NA
50,63xnq5!,False,35,1,equal,ST2_high_5_a1,P = T1?,Same,2,1,high,96,1.19,132,0.84,132,0.84,No,sure,cr,2.868014097213745,NA
51,63xnq5!,False,36,1,equal,ST1_high_5_a1,P = T2?,Same,1,1,high,96,1.21,132,1.06,96,1.21,No,sure,cr,1.617995023727417,NA
52,63xnq5!,False,37,1,equal,ST2_high_3_a1,P = T1?,Same,2,1,high,70,1.82,96,1.43,96,1.26,Yes,sure,fa,2.400902271270752,NA
53,63xnq5!,False,38,1,equal,ST2_low_1_a1,P = T2?,Same,2,1,low,82,1.23,132,0.96,132,1.05,Yes,quiteSure,hit,2.1042721271514893,NA
54,63xnq5!,False,39,1,equal,ST2_high_5_a2,P = T2?,Same,2,2,high,96,1.37,132,0.95,132,0.94,Yes,quiteSure,hit,2.0139830112457275,NA
55,63xnq5!,False,40,1,equal,ST2_low_2_a2,P = T1?,Same,2,2,low,132,1.04,82,1.42,82,1.59,Yes,quiteSure,fa,3.858349084854126,NA
56,63xnq5!,False,41,1,equal,ST1_high_3_a1,P = T2?,Same,1,1,high,70,1.66,96,1.34,70,2.05,Yes,quiteSure,fa,2.2426230907440186,NA
57,63xnq5!,False,42,1,equal,ST1_low_5_a1,P = T2?,Same,1,1,low,96,1.36,154,0.72,96,1.37,Yes,quiteSure,fa,5.072605848312378,NA
58,63xnq5!,False,43,1,equal,ST2_low_1_a1,P = T1?,Same,2,1,low,82,1.37,132,0.9,132,0.81,Yes,quiteSure,fa,2.549666166305542,NA
59,63xnq5!,False,44,1,equal,ST2_high_1_a1,P = T2?,Same,2,1,high,82,1.48,112,0.97,112,1.06,Yes,quiteSure,hit,2.9375710487365723,NA
60,63xnq5!,False,45,1,equal,ST1_high_4_a1,P = T1?,Same,1,1,high,96,1.27,70,1.77,96,1.39,Yes,quiteSure,hit,2.552431106567383,NA
61,63xnq5!,False,46,1,equal,ST2_high_5_a1,P = T1?,Same,2,1,high,96,1.13,132,0.93,132,0.89,Yes,unsure,fa,4.7559099197387695,NA
62,63xnq5!,False,47,1,equal,ST2_high_1_a2,P = T2?,Same,2,2,high,82,1.59,112,0.94,112,1.02,No,unsure,miss,4.179020881652832,NA
